1,Dark Skin,115,82,68
2,Light Skin,194,150,130
3,Blue Sky,98,122,157
4,Foliage,87,108,67
5,Blue Flower,133,128,177
6,Bluish Green,103,189,170
7,Orange,214,126,44
8,Purplish Blue,80,91,166
9,Moderate Red,193,90,99
10,Purple,94,60,108
11,Yellow Green,157,188,64
12,Orange Yellow,224,163,46
13,Blue,56,61,150
14,Green,70,148,73
15,Red,175,54,60
16,Yellow,231,199,31
17,Magenta,187,86,149
18,Cyan,8,133,161
19,White (.05)*,243,243,243
20,Neutral 8 (.23) *,200,200,200
21,Neutral6.5 (.44) *,160,160,160
22,Neutral 5 (.70) *,122,122,122
23,Neutral3.5 (1.05) *,85,85,85
24,Black (1.5) *,52,52,52
